啊啊啊|a1 a1 a1
感人心脾|gan3 ren2 xin1 pi2
甘瑞安|gan1 rui4 an1
干涩|gan4 se4
感煞片|gan3 sha4 pian4
感伤|gan3 shang1
赶上|gan3 shang4
甘芍消渴|gan1 shao2 xiao5 ke3
干涉|gan4 she4
干涉技术|gan4 she4 ji4 shu4
干涉现象|gan4 she4 xian4 xiang4
肝肾|gan1 shen4
肝肾安|gan1 shen4 an1
肝肾反射|gan1 shen4 fan3 she4
感深肺腑|gan3 shen1 fei4 fu3
肝肾膏|gan1 shen4 gao1
肝肾康|gan1 shen4 kang1
干什么|gan4 shen2 me5
肝肾滋|gan1 shen4 zi1
感生电流|gan3 sheng1 dian4 liu2
干事|gan4 shi4
干尸|gan4 shi1
干湿|gan4 shi1
干湿表|gan4 shi1 biao3
赶尸教众|gan3 shi1 jiao4 zhong4
赶时髦|gan3 shi2 mao2
旰食宵衣|gan4 shi2 xiao1 yi1
干事长|gan4 shi4 zhang3
旰食之劳|gan4 shi2 zhi1 lao2
干瘦|gan4 shou4
感受|gan3 shou4
甘受|gan1 shou4
感受器|gan3 shou4 qi4
感受歧势|gan3 shou4 qi2 shi4
感受细胞|gan3 shou4 xi4 bao1
感受性|gan3 shou4 xing4
感受野|gan3 shou4 ye3
甘薯|gan1 shu3
肝舒|gan1 shu1
甘舒安|gan1 shu1 an1
肝舒胶囊|gan1 shu1 jiao1 nang2
干舒乐|gan4 shu1 le4
肝舒乐|gan1 shu1 le4
甘舒霖|gan1 shu1 lin2
肝舒宁|gan1 shu1 ning2
肝舒片|gan1 shu1 pian4
肝俞穴|gan1 shu4 xue2
干爽|gan4 shuang3
肝爽|gan1 shuang3
肝爽颗粒|gan1 shuang3 ke1 li4
泔水|gan1 shui3
肝水解肽|gan1 shui3 jie3 tai4
肝水解物|gan1 shui3 jie3 wu4
敢死队|gan3 si3 dui4
甘思克|gan1 si1 ke4
甘死如饴|gan1 si3 ru2 yi2
干松|gan4 song1
甘松|gan1 song1
感苏|gan3 su1
甘肃|gan1 su4
肝素|gan1 su4
肝苏|gan1 su1
肝素钙|gan1 su4 gai4
肝素化|gan1 su4 hua4
肝苏胶囊|gan1 su1 jiao1 nang2
感速康|gan3 su4 kang1
肝速康|gan1 su4 kang1
感速康片|gan3 su4 kang1 pian4
肝苏颗粒|gan1 su1 ke1 li4
肝素酶|gan1 su4 mei2
肝素钠|gan1 su4 na4
肝苏片|gan1 su1 pian4
甘肃省|gan1 su4 sheng3
肝苏丸|gan1 su1 wan2
甘遂|gan1 sui4
干髓糊|gan4 sui3 hu2
肝髓流野|gan1 sui3 liu2 ye3
干髓术|gan4 sui3 shu4
肝索|gan1 suo3
杆塔|gan3 ta3
甘泰|gan1 tai4
肝泰|gan1 tai4
苷泰|gan1 tai4
肝泰宝|gan1 tai4 bao3
肝泰二号|gan1 tai4 er4 hao4
肝泰颗粒|gan1 tai4 ke1 li4
肝太乐|gan1 tai4 le4
肝泰舒|gan1 tai4 shu1
干苔外套|gan4 tai2 wai4 tao4
感叹|gan3 tan4
感叹词|gan3 tan4 ci2
感叹号|gan3 tan4 hao4
感叹句|gan3 tan4 ju4
肝糖|gan1 tang2
赶趟|gan3 tang4
赶趟儿|gan3 tang4 er2
干糖浆|gan4 tang2 jiang1
甘棠遗爱|gan1 tang2 yi2 ai4
甘糖酯|gan1 tang2 zhi3
甘棠之爱|gan1 tang2 zhi1 ai4
甘棠之惠|gan1 tang2 zhi1 hui4
甘糖酯片|gan1 tang2 zhi3 pian4
甘特|gan1 te4
感特灵|gan3 te4 ling2
感特灵片|gan3 te4 ling2 pian4
肝提取物|gan1 ti2 qu3 wu4
干啼湿哭|gan4 ti2 shi1 ku1
甘甜|gan1 tian2
感天动地|gan3 tian1 dong4 di4
肝铁补|gan1 tie3 bu3
感同身受|gan3 tong2 shen1 shou4
竿头日进|gan1 tou2 ri4 jin4
竿头日上|gan1 tou2 ri4 shang4
竿头直上|gan1 tou2 zhi2 shang4
肝托福仙|gan1 tuo1 fu2 xian1
赶往|gan3 wang3
甘为|gan1 wei2
敢为敢做|gan3 wei2 gan3 zuo4
甘味剂|gan1 wei4 ji4
肝维康|gan1 wei2 kang1
肝胃康宁|gan1 wei4 kang1 ning2
肝维康片|gan1 wei2 kang1 pian4
甘维乐舒|gan1 wei2 le4 shu1
甘维诺|gan1 wei2 nuo4
肝胃气痛|gan1 wei4 qi4 tong4
敢问|gan3 wen4
甘我饮食|gan1 wo3 yin3 shi2
感悟|gan3 wu4
干物女|gan4 wu4 nv3
感悟遂晚|gan3 wu4 sui4 wan3
干洗|gan4 xi3
干系|gan4 xi4
干细胞|gan4 xi4 bao1
肝细胞|gan1 xi4 bao1
肝细胞瘤|gan1 xi4 bao1 liu2
肝吸虫|gan1 xi1 chong2
肝喜乐|gan1 xi3 le4
肝喜乐片|gan1 xi3 le4 pian4
肝喜片|gan1 xi3 pian4
敢戏以侮|gan3 xi4 yi3 wu3
干线|gan4 xian4
赣县|gan4 xian4
干线电缆|gan4 xian4 dian4 lan3
干鲜果|gan4 xian1 guo3
感想|gan3 xiang3
干校|gan4 xiao4
干笑|gan4 xiao4
干霄蔽日|gan4 xiao1 bi4 ri4
干霄凌云|gan4 xiao1 ling2 yun2
肝小叶|gan1 xiao3 ye4
感谢|gan3 xie4
感谢信|gan3 xie4 xin4
干薪|gan4 xin1
甘心|gan1 xin1
甘心瞑目|gan1 xin1 ming2 mu4
甘心情原|gan1 xin1 qing2 yuan2
甘心情愿|gan1 xin1 qing2 yuan4
甘心如荠|gan1 xin1 ru2 ji4
肝心若裂|gan1 xin1 ruo4 lie4
甘心首疾|gan1 xin1 shou3 ji2
感欣舒|gan3 xin1 shu1
肝心涂地|gan1 xin1 tu2 di4
感性|gan3 xing4
干性坏疽|gan4 xing4 huai4 ju1
肝性昏迷|gan1 xing4 hun1 mi2
杆形卡环|gan3 xing2 ka3 huan2
干性糠疹|gan4 xing4 kang1 zhen3
感兴六首|gan3 xing4 liu4 shou3
干性皮肤|gan4 xing4 pi2 fu1
感兴趣|gan3 xing4 qu4
感性认识|gan3 xing4 ren4 shi2
干性油|gan4 xing4 you2
甘休|gan1 xiu1
干休所|gan4 xiu1 suo3
赶圩|gan3 xu1
甘圩镇|gan1 xu1 zhen4
肝血窦|gan1 xue4 dou4
干血浆|gan4 xue4 jiang1
肝血康复|gan1 xue4 kang1 fu4
感言|gan3 yan2
肝炎|gan1 yan2
肝炎病毒|gan1 yan2 bing4 du2
甘言厚礼|gan1 yan2 hou4 li3
肝炎康复|gan1 yan2 kang1 fu4
肝炎抗原|gan1 yan2 kang4 yuan2
肝炎灵|gan1 yan2 ling2
甘言美语|gan1 yan2 mei3 yu3
肝炎因子|gan1 yan2 yin1 zi3
肝尧乐|gan1 yao2 le4
肝叶酸|gan1 ye4 suan1
肝移植|gan1 yi2 zhi2
感应|gan3 ying4
肝硬变|gan1 ying4 bian4
感应电流|gan3 ying4 dian4 liu2
肝硬化|gan1 ying4 hua4
感应期|gan3 ying4 qi1
感应圈|gan3 ying4 quan1
敢勇当先|gan3 yong3 dang1 xian1
甘油|gan1 you2
肝友|gan1 you3
甘油搽剂|gan1 you2 cha2 ji4
甘油果糖|gan1 you2 guo3 tang2
甘油基|gan1 you2 ji1
肝友胶囊|gan1 you3 jiao1 nang2
甘油明胶|gan1 you2 ming2 jiao1
甘油溶液|gan1 you2 rong2 ye4
甘油三脂|gan1 you2 san1 zhi1
甘油栓|gan1 you2 shuan1
甘油酸|gan1 you2 suan1
敢有违者|gan3 you3 wei2 zhe3
甘油酯|gan1 you2 zhi3
干预|gan4 yu4
感愈|gan3 yu4
敢于|gan3 yu2
甘于|gan1 yu2
甘雨|gan1 yu3
肝俞|gan1 yu2
赣榆|gan4 yu2
感愈胶囊|gan3 yu4 jiao1 nang2
感遇四首|gan3 yu4 si4 shou3
甘雨随车|gan1 yu3 sui2 che1
肝郁调经|gan1 yu4 tiao2 jing1
感遇忘身|gan3 yu4 wang4 shen1
赣榆县|gan4 yu2 xian4
甘愿|gan1 yuan4
甘缘|gan1 yuan2
干元丸|gan4 yuan2 wan2
干哕|gan4 yue3
肝悦|gan1 yue4
肝悦片|gan1 yue4 pian4
甘悦喜|gan1 yue4 xi3
干云蔽日|gan4 yun2 bi4 ri4
肝脏|gan1 zang1
干燥|gan4 zao4
赶早|gan3 zao3
赶早儿|gan3 zao3 er2
干燥剂|gan4 zao4 ji4
干燥机|gan4 zao4 ji1
干燥器|gan4 zao4 qi4
干燥塔|gan4 zao4 ta3
干燥箱|gan4 zao4 xiang1
擀毡|gan3 zhan1
感召|gan3 zhao4
干着急|gan4 zhao1 ji2
甘蔗|gan1 zhe4
感震性|gan3 zhen4 xing4
干政|gan4 zheng4
敢正亡王|gan3 zheng4 wang2 wang2
干支|gan4 zhi1
感知|gan3 zhi1
感知恶魔|gan3 zhi1 e4 mo2
感之而作|gan3 zhi1 er2 zuo4
甘旨肥浓|gan1 zhi3 fei2 nong2
感知机|gan3 zhi1 ji1
甘之如荠|gan1 zhi1 ru2 ji4
甘之如饴|gan1 zhi1 ru2 yi2
甘之若素|gan1 zhi1 ruo4 su4
感知亡灵|gan3 zhi1 wang2 ling2
赣州|gan4 zhou1
甘州区|gan1 zhou1 qu1
赣州市|gan4 zhou1 shi4
杆状|gan3 zhuang4
杆状的|gan3 zhuang4 de5
杆状菌|gan3 zhuang4 jun1
杆状体|gan3 zhuang4 ti3
杆子|gan3 zi3
柑子|gan1 zi3
甘孜|gan1 zi1
秆子|gan3 zi3
竿子|gan1 zi3
甘孜县|gan1 zi1 xian4
赶走|gan3 zou3
敢作敢当|gan3 zuo4 gan3 dang1
敢作敢为|gan3 zuo4 gan3 wei2
敢做敢为|gan3 zuo4 gan3 wei2
港澳|gang3 ao4
港澳台|gang3 ao4 tai2
港澳同胞|gang3 ao4 tong2 bao1
岗巴|gang3 ba1
岗巴县|gang3 ba1 xian4
钢板|gang1 ban3
杠板归|gang4 ban3 gui1
港胞|gang3 bao1
钢包|gang1 bao1
港北|gang3 bei3
港北区|gang3 bei3 qu1
刚愎|gang1 bi4
港币|gang3 bi4
钢笔|gang1 bi3
冈比亚|gang1 bi3 ya4
刚愎自用|gang1 bi4 zi4 yong4
港埠|gang3 bu4
刚才|gang1 cai2
钢材|gang1 cai2
刚察|gang1 cha2
港汊|gang3 cha4
钢叉|gang1 cha1
刚察县|gang1 cha2 xian4
纲常|gang1 chang2
刚肠嫉恶|gang1 chang2 ji2 e4
肛肠洗剂|gang1 chang2 xi3 ji4
港昌中|gang3 chang1 zhong1
钢城|gang1 cheng2
钢城区|gang1 cheng2 qu1
钢尺|gang1 chi3
钢窗|gang1 chuang1
钢锤|gang1 chui2
钢刀|gang1 dao1
冈德尔|gang1 de2 er3
钢锭|gang1 ding4
扛鼎拔山|gang1 ding3 ba2 shan1
钢钉盾牌|gang1 ding4 dun4 pai2
钢钉护腕|gang1 ding4 hu4 wan4
刚度|gang1 du4
港督|gang3 du1
钢都|gang1 du1
钢盾|gang1 dun4
杠房|gang4 fang2
刚风|gang1 feng1
罡风|gang1 feng1
杠夫|gang4 fu1
港府|gang3 fu3
缸盖|gang1 gai4
杠杆|gang4 gan3
刚刚|gang1 gang1
杠杠|gang4 gang4
钢骨|gang1 gu3
钢箍束带|gang1 gu1 shu4 dai4
钢骨足甲|gang1 gu3 zu2 jia3
缸管|gang1 guan3
钢管|gang1 guan3
肛管癌|gang1 guan3 ai2
钢管皇后|gang1 guan3 huang2 hou4
钢轨|gang1 gui3
刚果|gang1 guo3
刚果红|gang1 guo3 hong2
刚果学生|gang1 guo3 xue2 sheng1
刚好|gang1 hao3
钢化|gang1 hua4
钢花|gang1 hua1
钢化玻璃|gang1 hua4 bo1 li2
纲纪|gang1 ji4
纲纪废弛|gang1 ji4 fei4 chi2
钢架|gang1 jia4
钢甲山猫|gang1 jia3 shan1 mao1
刚健|gang1 jian4
钢箭头|gang1 jian4 tou2
钢浇铁铸|gang1 jiao1 tie3 zhu4
钢结构|gang1 jie2 gou4
钢筋|gang1 jin1
钢筋铁骨|gang1 jin1 tie3 gu3
刚劲|gang1 jing1
港警|gang3 jing3
钢锯|gang1 ju4
纲举目张|gang1 ju3 mu4 zhang1
港口|gang3 kou3
港口区|gang3 kou3 qu1
钢盔|gang1 kui1
钢缆|gang1 lan3
刚戾自用|gang1 li4 zi4 yong4
钢梁|gang1 liang2
刚烈|gang1 lie4
肛裂|gang1 lie4
钢鳞护手|gang1 lin2 hu4 shou3
钢鳞鱼|gang1 lin2 yu2
冈陵|gang1 ling2
杠铃|gang4 ling2
纲领|gang1 ling3
纲领性|gang1 ling3 xing4
杠柳苷|gang4 liu3 gan1
岗楼|gang3 lou2
钢炉|gang1 lu2
岗峦|gang3 luan2
刚毛|gang1 mao2
刚毛状的|gang1 mao2 zhuang4 de5
岗梅|gang3 mei2
钢眉|gang1 mei2
肛门|gang1 men2
肛门镜|gang1 men2 jing4
肛门溃疡|gang1 men2 kui4 yang2
肛门期|gang1 men2 qi1
肛门前移|gang1 men2 qian2 yi2
肛门瘙痒|gang1 men2 sao4 yang3
肛门失禁|gang1 men2 shi1 jin4
肛门狭窄|gang1 men2 xia2 zhai3
肛膜|gang1 mo2
纲目|gang1 mu4
港南|gang3 nan2
港南区|gang3 nan2 qu1
钢怒|gang1 nu4
缸盆|gang1 pen2
钢坯|gang1 pi1
钢瓶|gang1 ping2
钢钎|gang1 qian1
刚强|gang1 qiang2
钢枪|gang1 qiang1
刚巧|gang1 qiao3
纲挈目张|gang1 qie4 mu4 zhang1
钢琴|gang1 qin2
钢琴曲|gang1 qin2 qu3
钢琴说|gang1 qin2 shuo1
钢圈|gang1 quan1
钢拳|gang1 quan2
港人|gang3 ren2
钢刃|gang1 ren4
岗稔肝炎|gang3 ren3 gan1 yan2
刚柔|gang1 rou2
刚柔相济|gang1 rou2 xiang1 ji4
肛乳头炎|gang1 ru3 tou2 yan2
冈瑟尔|gang1 se4 er3
港商|gang3 shang1
岗哨|gang3 shao4
岗哨守卫|gang3 shao4 shou3 wei4
岗哨图腾|gang3 shao4 tu2 teng2
钢绳|gang1 sheng2
港式|gang3 shi4
钢矢硬弩|gang1 shi3 ying4 nu3
钢手|gang1 shou3
肛舒颗粒|gang1 shu1 ke1 li4
钢水|gang1 shui3
钢水烧伤|gang1 shui3 shao1 shang1
钢丝|gang1 si1
钢丝床|gang1 si1 chuang2
钢丝夹板|gang1 si1 jia2 ban3
钢丝锯|gang1 si1 ju4
钢丝圈|gang1 si1 quan1
钢丝绳|gang1 si1 sheng2
岗松|gang3 song1
钢索|gang1 suo3
港台|gang3 tai2
肛泰|gang1 tai4
肛泰软膏|gang1 tai4 ruan3 gao1
肛泰栓|gang1 tai4 shuan1
冈特尔|gang1 te4 er3
刚体|gang1 ti3
纲提领挈|gang1 ti2 ling3 qie4
钢条|gang1 tiao2
钢条护甲|gang1 tiao2 hu4 jia3
钢铁|gang1 tie3
钢铁厂|gang1 tie3 chang3
钢铁长城|gang1 tie3 chang2 cheng2
钢铁大厅|gang1 tie3 da4 ting1
钢铁意志|gang1 tie3 yi4 zhi4
钢铁勇气|gang1 tie3 yong3 qi4
钢铁之怒|gang1 tie3 zhi1 nu4
岗亭|gang3 ting2
岗头泽底|gang3 tou2 ze2 di3
缸瓦|gang1 wa3
港湾|gang3 wan1
岗位|gang3 wei4
岗位津贴|gang3 wei4 jin1 tie1
钢尾蜥蜴|gang1 wei3 xi1 yi4
港务|gang3 wu4
港务局|gang3 wu4 ju2
刚性|gang1 xing4
钢须|gang1 xu1
钢牙山猫|gang1 ya2 shan1 mao1
纲要|gang1 yao4
刚毅|gang1 yi4
刚翼|gang1 yi4
刚毅木讷|gang1 yi4 mu4 ne4
钢印|gang1 yin4
刚勇|gang1 yong3
刚玉|gang1 yu4
刚玉粉|gang1 yu4 fen3
港元|gang3 yuan2
港闸|gang3 zha2
钢渣|gang1 zha1
港闸区|gang3 zha2 qu1
钢针|gang1 zhen1
刚正|gang1 zheng4
刚直|gang1 zhi2
钢质宝箱|gang1 zhi4 bao3 xiang1
钢质护手|gang1 zhi4 hu4 shou3
钢质头盔|gang1 zhi4 tou2 kui1
钢质胸甲|gang1 zhi4 xiong1 jia3
钢种|gang1 zhong3
刚中柔外|gang1 zhong1 rou2 wai4
钢轴|gang1 zhou2
肛周脓肿|gang1 zhou1 nong2 zhong3
钢珠|gang1 zhu1
钢爪利斧|gang1 zhua1 li4 fu3
钢爪刃|gang1 zhua1 ren4
缸砖|gang1 zhuan1
岗子|gang3 zi3
杠子|gang4 zi3
缸子|gang1 zi3
钢鬃|gang1 zong1
钢鬃狼|gang1 zong1 lang2
钢鬃营地|gang1 zong1 ying2 di4
高矮|gao1 ai3
高安|gao1 an1
高岸深谷|gao1 an4 shen1 gu3
高安市|gao1 an1 shi4
高岸为谷|gao1 an4 wei2 gu3
高安县|gao1 an1 xian4
高昂|gao1 ang2
高傲|gao1 ao4
高傲之刺|gao1 ao4 zhi1 ci4
高傲自大|gao1 ao4 zi4 da4
高巴斯|gao1 ba1 si1
告白|gao4 bai2
高爆|gao1 bao4
高爆炸弹|gao1 bao4 zha4 dan4
高保真|gao1 bao3 zhen1
高倍|gao1 bei4
高碑店|gao1 bei1 dian4
高碑店市|gao1 bei1 dian4 shi4
稿本|gao3 ben3
藁本|gao3 ben3
告便|gao4 bian4
高变区|gao1 bian4 qu1
高标准|gao1 biao1 zhun3
告别|gao4 bie2
告病|gao4 bing4
糕饼|gao1 bing5
高拨子|gao1 bo1 zi3
高步阔视|gao1 bu4 kuo4 shi4
高步通衢|gao1 bu4 tong1 qu2
高步云衢|gao1 bu4 yun2 qu2
高才|gao1 cai2
高才大德|gao1 cai2 da4 de2
高才大学|gao1 cai2 da4 xue2
高才疾足|gao1 cai2 ji2 zu2
高材疾足|gao1 cai2 ji2 zu2
高才捷足|gao1 cai2 jie2 zu2
高材捷足|gao1 cai2 jie2 zu2
高才绝学|gao1 cai2 jue2 xue2
高才生|gao1 cai2 sheng1
高材生|gao1 cai2 sheng1
高才远识|gao1 cai2 yuan3 shi2
高才卓识|gao1 cai2 zhuo2 shi2
高参|gao1 can1
高草植被|gao1 cao3 zhi2 bei4
高层|gao1 ceng2
高层次|gao1 ceng2 ci4
高层调度|gao1 ceng2 diao4 du4
高层云|gao1 ceng2 yun2
高产|gao1 chan3
高产田|gao1 chan3 tian2
高产作物|gao1 chan3 zuo4 wu4
高唱|gao1 chang4
高唱入云|gao1 chang4 ru4 yun2
膏场绣浍|gao1 chang3 xiu4 kuai1
高潮|gao1 chao2
高超|gao1 chao1
膏车秣马|gao1 che1 mo4 ma3
高车驷马|gao1 che1 si4 ma3
告成|gao4 cheng2
藁城|gao3 cheng2
高程|gao1 cheng2
告成岱宗|gao4 cheng2 dai4 zong1
高城深池|gao1 cheng2 shen1 chi2
藁城市|gao3 cheng2 shi4
藁城县|gao3 cheng2 xian4
稿酬|gao3 chou2
高矗|gao1 chu4
高出叶|gao1 chu1 ye4
告吹|gao4 chui1
高淳|gao1 chun2
膏唇贩舌|gao1 chun2 fan4 she2
膏唇岐舌|gao1 chun2 qi2 she2
膏唇拭舌|gao1 chun2 shi4 she2
膏唇试舌|gao1 chun2 shi4 she2
高淳县|gao1 chun2 xian4
告辞|gao4 ci2
高次方程|gao1 ci4 fang1 cheng2
高村|gao1 cun1
高大|gao1 da4
告贷|gao4 dai4
告贷无门|gao4 dai4 wu2 men2
高代谢|gao1 dai4 xie4
高蛋白|gao1 dan4 bai2
高氮要素|gao1 dan4 yao4 su4
高档|gao1 dang4
高档商品|gao1 dang4 shang1 pin3
告倒|gao4 dao3
高蹈远举|gao1 dao3 yuan3 ju3
高德|gao1 de2
高德瑞克|gao1 de2 rui4 ke4
高等|gao1 deng3
高等动物|gao1 deng3 dong4 wu4
高等教育|gao1 deng3 jiao4 yu4
高等精灵|gao1 deng3 jing1 ling2
高等学校|gao1 deng3 xue2 xiao4
高等院校|gao1 deng3 yuan4 xiao4
高等植物|gao1 deng3 zhi2 wu4
高低|gao1 di1
高地|gao1 di4
高迪尔|gao1 di2 er3
高低杠|gao1 di1 gang4
高地肩饰|gao1 di4 jian1 shi4
高地人|gao1 di4 ren2
高地植物|gao1 di4 zhi2 wu4
告地状|gao4 di4 zhuang4
糕点|gao1 dian3
高淀粉酶|gao1 dian4 fen3 mei2
高调|gao1 diao4
高度|gao1 du4
高度计|gao1 du4 ji4
高度效应|gao1 du4 xiao4 ying4
高端|gao1 duan1
搞对象|gao3 dui4 xiang4
高顿|gao1 dun4
高多克|gao1 duo1 ke4
高额|gao1 e2
高遏行云|gao1 e4 xing4 yun2
高恩|gao1 en1
高尔夫|gao1 er3 fu1
高尔夫球|gao1 er3 fu1 qiu2
高尔基体|gao1 er3 ji1 ti3
高尔胶囊|gao1 er3 jiao1 nang2
高尔姆|gao1 er3 mu3
告发|gao4 fa1
搞法|gao3 fa3
高泛酸|gao1 fan4 suan1
高泛酸钙|gao1 fan4 suan1 gai4
稿费|gao3 fei4
高飞|gao1 fei1
高飞远遁|gao1 fei1 yuan3 dun4
高飞远集|gao1 fei1 yuan3 ji2
高飞远举|gao1 fei1 yuan3 ju3
高飞远翔|gao1 fei1 yuan3 xiang2
高飞远走|gao1 fei1 yuan3 zou3
高分辨率|gao1 fen1 bian4 lv4
高分低能|gao1 fen1 di1 neng2
高分子|gao1 fen1 zi3
诰封|gao4 feng1
高峰|gao1 feng1
高峰会|gao1 feng1 hui4
高风劲节|gao1 feng1 jin4 jie2
高风峻节|gao1 feng1 jun4 jie2
高风亮节|gao1 feng1 liang4 jie2
高风缅邈|gao1 feng1 mian3 miao3
高峰期|gao1 feng1 qi1
高凤自秽|gao1 feng4 zi4 hui4
告负|gao4 fu4
高钙|gao1 gai4
高钙尿症|gao1 gai4 niao4 zheng4
高钙片|gao1 gai4 pian4
高干|gao1 gan4
高干子弟|gao1 gan4 zi3 di4
高港|gao1 gang3
高港区|gao1 gang3 qu1
高高|gao1 gao1
高高低低|gao1 gao1 di1 di1
高高挂起|gao1 gao1 gua4 qi3
高高兴兴|gao1 gao1 xing4 xing4
高高在上|gao1 gao1 zai4 shang4
高个|gao1 ge4
高戈|gao1 ge1
高歌|gao1 ge1
高阁|gao1 ge2
高个儿|gao1 ge4 er2
高阁高阁|gao1 ge2 gao1 ge2
高歌猛进|gao1 ge1 meng3 jin4
高个子|gao1 ge4 zi3
高跟儿鞋|gao1 gen1 er2 xie2
高跟鞋|gao1 gen1 xie2
高工|gao1 gong1
櫜弓戢戈|gao1 gong1 ji2 ge1
櫜弓戢矢|gao1 gong1 ji2 shi3
櫜弓卧鼓|gao1 gong1 wo4 gu3
高弓足|gao1 gong1 zu2
高估|gao1 gu1
高顾遐视|gao1 gu4 xia2 shi4
告官|gao4 guan1
高冠博带|gao1 guan4 bo2 dai4
高官贵爵|gao1 guan1 gui4 jue2
高官厚禄|gao1 guan1 hou4 lu4
高官极品|gao1 guan1 ji2 pin3
高官显爵|gao1 guan1 xian3 jue2
高官重禄|gao1 guan1 zhong4 lu4
高官尊爵|gao1 guan1 zun1 jue2
高光|gao1 guang1
搞鬼|gao3 gui3
高贵|gao1 gui4
高贵胸针|gao1 gui4 xiong1 zhen1
高喊|gao1 han3
高寒|gao1 han2
高寒区|gao1 han2 qu1
搞好|gao3 hao3
高鹤|gao1 he4
高赫尼|gao1 he4 ni2
高鹤县|gao1 he4 xian4
高呼|gao1 hu1
高胡|gao1 hu2
高乎视低|gao1 hu1 shi4 di1
膏肓|gao1 huang1
膏肓俞穴|gao1 huang1 shu4 xue2
膏肓俞|gao1 huang1 yu2
膏肓之疾|gao1 huang1 zhi1 ji2
搞活|gao3 huo2
膏火|gao1 huo3
搞活经济|gao3 huo2 jing1 ji4
膏火之费|gao1 huo3 zhi1 fei4
膏火自煎|gao1 huo3 zi4 jian1
告急|gao4 ji2
膏剂|gao1 ji4
高级|gao1 ji2
高级剥皮|gao1 ji2 bao1 pi2
高级裁缝|gao1 ji2 cai2 feng2
高级采矿|gao1 ji2 cai3 kuang4
高级钓鱼|gao1 ji2 diao4 yu2
高级锻造|gao1 ji2 duan4 zao4
高级附魔|gao1 ji2 fu4 mo2
高级急救|gao1 ji2 ji2 jiu4
高级机器|gao1 ji2 ji1 qi4
高级假人|gao1 ji2 jia3 ren2
高级监工|gao1 ji2 jian1 gong1
高级讲师|gao1 ji2 jiang3 shi1
高级焦炭|gao1 ji2 jiao1 tan4
高剂量率|gao1 ji4 liang4 lv4
高级木料|gao1 ji2 mu4 liao4
高级烹饪|gao1 ji2 peng1 ren4
高级社|gao1 ji2 she4
高级神经|gao1 ji2 shen2 jing1
高技术|gao1 ji4 shu4
高级小学|gao1 ji2 xiao3 xue2
高级语言|gao1 ji2 yu3 yan2
高级制皮|gao1 ji2 zhi4 pi2
高级中学|gao1 ji2 zhong1 xue2
告假|gao4 jia3
高价|gao1 jia4
高架桥|gao1 jia4 qiao2
高价生|gao1 jia4 sheng1
櫜甲束兵|gao1 jia3 shu4 bing1
高加索|gao1 jia1 suo3
高甲戏|gao1 jia3 xi4
高加兹|gao1 jia1 zi1
稿件|gao3 jian4
高见|gao1 jian4
高见远识|gao1 jian4 yuan3 shi2
高教|gao1 jiao4
高脚|gao1 jiao3
高脚杯|gao1 jiao3 bei1
高教界|gao1 jiao4 jie4
告借|gao4 jie4
告捷|gao4 jie2
告竭|gao4 jie2
告诫|gao4 jie4
高洁|gao1 jie2
高阶督军|gao1 jie1 du1 jun1
高阶逻辑|gao1 jie1 luo2 ji2
高节清风|gao1 jie2 qing1 feng1
高阶语言|gao1 jie1 yu3 yan2
高阶之靴|gao1 jie1 zhi1 xue1
高劲|gao1 jin4
告警|gao4 jing3
高精尖|gao1 jing1 jian1
告警信号|gao4 jing3 xin4 hao4
高就|gao1 jiu4
高举|gao1 ju3
高踞|gao1 ju4
高举深藏|gao1 ju3 shen1 cang2
高居深拱|gao1 ju1 shen1 gong3
高聚生|gao1 ju4 sheng1
高聚物|gao1 ju4 wu4
高举远蹈|gao1 ju3 yuan3 dao3
高娟|gao1 juan1
告绝|gao4 jue2
高爵厚禄|gao1 jue2 hou4 lu4
高爵重禄|gao1 jue2 zhong4 lu4
告竣|gao4 jun4
高峻|gao1 jun4
高看|gao1 kan4
高亢|gao1 kang4
高考|gao1 kao3
高考房|gao1 kao3 fang2
高科技|gao1 ke1 ji4
高空|gao1 kong1
高空槽|gao1 kong1 cao2
高空作业|gao1 kong1 zuo4 ye4
搞垮|gao3 kua3
高宽比|gao1 kuan1 bi3
高拉克|gao1 la1 ke4
高拉什|gao1 la1 shi5
皋兰|gao1 lan2
高栏|gao1 lan2
皋兰县|gao1 lan2 xian4
告老|gao4 lao3
告老还家|gao4 lao3 huan1 jia1
告老还乡|gao4 lao3 huan1 xiang1
告劳伊何|gao4 lao2 yi1 he2
告老在家|gao4 lao3 zai4 jia1
高垒深沟|gao1 lei3 shen1 gou1
高丽|gao1 li4
高利|gao1 li4
高里|gao1 li3
高利贷|gao1 li4 dai4
高利贷者|gao1 li4 dai4 zhe3
高里纳|gao1 li3 na4
高力清心|gao1 li4 qing1 xin1
高丽参|gao1 li4 shen1
高丽纸|gao1 li4 zhi3
高粱|gao1 liang2
高粱地|gao1 liang2 di4
高梁红|gao1 liang2 hong2
高良姜|gao1 liang2 jiang1
膏梁锦绣|gao1 liang2 jin3 xiu4
膏粱锦绣|gao1 liang2 jin3 xiu4
高粱米|gao1 liang2 mi3
高粱面|gao1 liang2 mian4
膏粱年少|gao1 liang2 nian2 shao3
膏梁纨袴|gao1 liang2 wan2 ku4
膏粱纨袴|gao1 liang2 wan2 ku4
膏粱文绣|gao1 liang2 wen2 xiu4
